,company,epoch,frac,seed,test acc,test loss,total time,train acc,train loss,train time,train_acc,train_loss,train_time,valid acc,valid loss,valid time,valid_acc,valid_loss,valid_time
0,small,1,0.01,2,0.0,0,0.0009896660012600478,,,,,,0.0009896660012600478,,,,0.1346153846153846,2.302433894230769,0.00802512299924274
1,small,2,0.01,2,0.0,0,0.0007876179988670629,,,,,,0.0007876179988670629,,,,0.1346153846153846,2.302433894230769,0.007373869000730338
2,small,3,0.01,2,0.0,0,0.0006980279995332239,,,,,,0.0006980279995332239,,,,0.1346153846153846,2.302433894230769,0.007292340000276454
3,small,4,0.01,2,0.0,0,0.0006398740006261505,,,,,,0.0006398740006261505,,,,0.1346153846153846,2.302433894230769,0.00736122600028466
4,small,5,0.01,2,0.0,0,0.0007279300007212441,,,,,,0.0007279300007212441,,,,0.1346153846153846,2.302433894230769,0.007479734998923959
5,small,6,0.01,2,0.0,0,0.000690799999574665,,,,,,0.000690799999574665,,,,0.1346153846153846,2.302433894230769,0.007454282000253443
6,small,7,0.01,2,0.0,0,0.001148180001109722,,,,,,0.001148180001109722,,,,0.1346153846153846,2.302433894230769,0.007562609998785774
7,small,8,0.01,2,0.0,0,0.000666507999994792,,,,,,0.000666507999994792,,,,0.1346153846153846,2.302433894230769,0.007417525001073955
8,small,9,0.01,2,0.0,0,0.0009549170008540386,,,,,,0.0009549170008540386,,,,0.1346153846153846,2.302433894230769,0.007260929998665233
9,small,10,0.01,2,0.0,0,0.0006684060008410597,,,,,,0.0006684060008410597,,,,0.1346153846153846,2.302433894230769,0.007193272998847533
10,small,11,0.01,2,0.0,0,0.0008066030004556524,,,,,,0.0008066030004556524,,,,0.1346153846153846,2.302433894230769,0.007181682998634642
11,small,12,0.01,2,0.0,0,0.0006585690007341327,,,,,,0.0006585690007341327,,,,0.1346153846153846,2.302433894230769,0.0071690189997752896
12,small,13,0.01,2,0.0,0,0.0009090069997910177,,,,,,0.0009090069997910177,,,,0.1346153846153846,2.302433894230769,0.007221103000119911
13,small,14,0.01,2,0.0,0,0.0010179069995501777,,,,,,0.0010179069995501777,,,,0.1346153846153846,2.302433894230769,0.007289997000043513
14,small,15,0.01,2,0.0,0,0.0008482070006721187,,,,,,0.0008482070006721187,,,,0.1346153846153846,2.302433894230769,0.00721809199967538
15,small,16,0.01,2,0.0,0,0.0006305980004981393,,,,,,0.0006305980004981393,,,,0.1346153846153846,2.302433894230769,0.007860630999857676
16,small,17,0.01,2,0.0,0,0.0008341989996552002,,,,,,0.0008341989996552002,,,,0.1346153846153846,2.302433894230769,0.006004962999213603
17,small,18,0.01,2,0.0,0,0.000656537000395474,,,,,,0.000656537000395474,,,,0.1346153846153846,2.302433894230769,0.006092400000852649
18,small,19,0.01,2,0.0,0,0.0008508410010108491,,,,,,0.0008508410010108491,,,,0.1346153846153846,2.302433894230769,0.005982798998957151
19,small,20,0.01,2,0.0,0,0.0006219620008778293,,,,,,0.0006219620008778293,,,,0.1346153846153846,2.302433894230769,0.0060429129989643116
20,small,21,0.01,2,0.0,0,0.0012982829994143685,,,,,,0.0012982829994143685,,,,0.1346153846153846,2.302433894230769,0.006038382000042475
21,small,22,0.01,2,0.0,0,0.0009276340006181272,,,,,,0.0009276340006181272,,,,0.1346153846153846,2.302433894230769,0.006089955999414087
22,small,23,0.01,2,0.0,0,0.0009610090000933269,,,,,,0.0009610090000933269,,,,0.1346153846153846,2.302433894230769,0.006091328999900725
23,small,24,0.01,2,0.0,0,0.0006169419993966585,,,,,,0.0006169419993966585,,,,0.1346153846153846,2.302433894230769,0.0060753400011890335
