,company,frac,seed,valid_acc,test_acc
23,large,0.01,0,0.9396903015484924,0.9372
23,large,0.05,0,0.9419396001701404,0.9358
23,large,0.1,0,0.9315283061087491,0.9343
23,small,0.01,0,0.07407407407407407,0.099
23,small,0.05,0,0.6678700361010831,0.594
23,small,0.1,0,0.7563636363636363,0.7363
23,large,0.01,4,0.9425661914460284,0.9375
23,large,0.05,4,0.9397744200893808,0.9367
23,large,0.1,4,0.9401117318435754,0.9339
23,small,0.01,4,0.1346153846153846,0.1
23,small,0.05,4,0.6079136690647482,0.5715
23,small,0.1,4,0.7572992700729927,0.7419
23,large,0.01,1,0.9425778863775198,0.9364
23,large,0.05,1,0.942778132312274,0.9392
23,large,0.1,1,0.9399419513284216,0.9349
23,small,0.01,1,0.038461538461538464,0.099
23,small,0.05,1,0.6245487364620939,0.5727
23,small,0.1,1,0.7486238532110092,0.7337
23,large,0.01,2,0.937080024434942,0.9368
23,large,0.05,2,0.9404761904761904,0.9361
23,large,0.1,2,0.9384340843185368,0.9305
23,small,0.01,2,0.1346153846153846,0.1
23,small,0.05,2,0.5407407407407407,0.5603
23,small,0.1,2,0.7749077490774908,0.7421
23,large,0.01,3,0.9440260533279056,0.9388
23,large,0.05,3,0.9384288747346072,0.9359
23,large,0.1,3,0.93603744149766,0.9318
23,small,0.01,3,0.1346153846153846,0.1006
23,small,0.05,3,0.5303030303030303,0.5351
23,small,0.1,3,0.7087198515769945,0.7317
23,large,0.2,0,0.9323232323232324,0.9298
23,large,0.3,0,0.9270534175761056,0.9242
23,large,0.4,0,0.9307460689193712,0.9159999999999999
23,large,0.5,0,0.9113064322812624,0.9095
23,small,0.2,0,0.8341323106423778,0.8369
23,small,0.3,0,0.8703583061889251,0.8667
23,small,0.4,0,0.8928395061728395,0.895
23,small,0.5,0,0.9106433677521842,0.9071
23,large,0.2,1,0.933719758064516,0.9277
23,large,0.3,1,0.9230106291295604,0.9245
23,large,0.4,1,0.9228705566733736,0.9147
23,large,0.5,1,0.9130607383882492,0.9059
23,small,0.2,1,0.8320388349514564,0.8399
23,small,0.3,1,0.8913467794404685,0.8684
23,small,0.4,1,0.8975369458128079,0.8944
23,small,0.5,1,0.9118116520351156,0.9061
23,large,0.2,2,0.9315378806946892,0.9284
23,large,0.3,2,0.9260321100917432,0.9199
23,large,0.4,2,0.9228705566733736,0.9136
23,large,0.5,2,0.9165009940357852,0.9058
23,small,0.2,2,0.8250244379276638,0.8319
23,small,0.3,2,0.8796599084368869,0.868
23,small,0.4,2,0.9014292755051748,0.8879
23,small,0.5,2,0.9158692185007976,0.9039
23,large,0.2,3,0.9326463935662228,0.9264
23,large,0.3,3,0.9219736087205966,0.9238
23,large,0.4,3,0.9253530598520512,0.9125
23,large,0.5,3,0.9095617529880478,0.9066
23,small,0.2,3,0.8570029382957884,0.8349
23,small,0.3,3,0.8758169934640523,0.8698
23,small,0.4,3,0.8974484789008832,0.8926
23,small,0.5,3,0.9097774244833068,0.9032
23,large,0.2,4,0.933636134241736,0.9257
23,large,0.3,4,0.9364443172058402,0.9246
23,large,0.4,4,0.9267965077233042,0.9169
23,large,0.5,4,0.9124552327894946,0.9053
23,small,0.2,4,0.8541062801932368,0.8379
23,small,0.3,4,0.8806557377049179,0.8703
23,small,0.4,4,0.8948919449901768,0.8927
23,small,0.5,4,0.908764940239044,0.9068
