,company,frac,rmse,scenario,seed
0,small,0.01,0.9877662614480122,0.01_random0,0
1,large,0.01,0.7938970444679262,0.01_random0,0
2,small,0.01,0.9729894163640839,0.01_random1,1
3,large,0.01,0.7945273094655556,0.01_random1,1
4,small,0.01,0.9794384541820556,0.01_random2,2
5,large,0.01,0.793927492214215,0.01_random2,2
6,small,0.01,0.9847117745961967,0.01_random3,3
7,large,0.01,0.7935961511259404,0.01_random3,3
8,small,0.01,0.9821455132570875,0.01_random4,4
9,large,0.01,0.7937349762065845,0.01_random4,4
10,small,0.05,0.9117295757595323,0.05_random0,0
11,large,0.05,0.7955597102542112,0.05_random0,0
12,small,0.05,0.9128165356260869,0.05_random1,1
13,large,0.05,0.7954416637201168,0.05_random1,1
14,small,0.05,0.9054937112700095,0.05_random2,2
15,large,0.05,0.7962459311585464,0.05_random2,2
16,small,0.05,0.9059047904201092,0.05_random3,3
17,large,0.05,0.7957936983629167,0.05_random3,3
18,small,0.05,0.9060638254960236,0.05_random4,4
19,large,0.05,0.7953492667362274,0.05_random4,4
20,small,0.1,0.8924905817122388,0.1_random0,0
21,large,0.1,0.7975185817793833,0.1_random0,0
22,small,0.1,0.8932007952383395,0.1_random1,1
23,large,0.1,0.7974990842458275,0.1_random1,1
24,small,0.1,0.8898837273166692,0.1_random2,2
25,large,0.1,0.7980568619491496,0.1_random2,2
26,small,0.1,0.8896107328861291,0.1_random3,3
27,large,0.1,0.799776739399182,0.1_random3,3
28,small,0.1,0.8920272029466522,0.1_random4,4
29,large,0.1,0.7982865303117115,0.1_random4,4
30,small,0.15,0.8859982406721522,0.15_random0,0
31,large,0.15,0.7997764219287868,0.15_random0,0
32,small,0.15,0.8871224062097715,0.15_random1,1
33,large,0.15,0.800103713768825,0.15_random1,1
34,small,0.15,0.8834853332270332,0.15_random2,2
35,large,0.15,0.8009991834003081,0.15_random2,2
36,small,0.15,0.8798899639065325,0.15_random3,3
37,large,0.15,0.8012866513990439,0.15_random3,3
38,small,0.15,0.8854660336197114,0.15_random4,4
39,large,0.15,0.8018600111914769,0.15_random4,4
40,small,0.2,0.8782666297170653,0.2_random0,0
41,large,0.2,0.8053464392217399,0.2_random0,0
42,small,0.2,0.8823626519790628,0.2_random1,1
43,large,0.2,0.80607715617117,0.2_random1,1
44,small,0.2,0.8792857017944803,0.2_random2,2
45,large,0.2,0.8041711282817641,0.2_random2,2
46,small,0.2,0.8803851453127544,0.2_random3,3
47,large,0.2,0.8042456182381731,0.2_random3,3
48,small,0.2,0.8798093548563667,0.2_random4,4
49,large,0.2,0.8057150826976596,0.2_random4,4
50,small,0.25,0.8767650686077166,0.25_random0,0
51,large,0.25,0.8083414884905842,0.25_random0,0
52,small,0.25,0.8765183274029527,0.25_random1,1
53,large,0.25,0.8100323910640915,0.25_random1,1
54,small,0.25,0.8749468182859256,0.25_random2,2
55,large,0.25,0.8090980253897613,0.25_random2,2
56,small,0.25,0.8748506033252905,0.25_random3,3
57,large,0.25,0.8095280843295849,0.25_random3,3
58,small,0.25,0.8791176861788308,0.25_random4,4
59,large,0.25,0.8085408357999615,0.25_random4,4
60,small,0.3,0.877570893701933,0.3_random0,0
61,large,0.3,0.8110037279563265,0.3_random0,0
62,small,0.3,0.8747771826826192,0.3_random1,1
63,large,0.3,0.8133012922714734,0.3_random1,1
64,small,0.3,0.8714677086897131,0.3_random2,2
65,large,0.3,0.8144322339783834,0.3_random2,2
66,small,0.3,0.8729947270947607,0.3_random3,3
67,large,0.3,0.8121639056192462,0.3_random3,3
68,small,0.3,0.8727088892694668,0.3_random4,4
69,large,0.3,0.8143246355286166,0.3_random4,4
70,small,0.35,0.8738093793044381,0.35_random0,0
71,large,0.35,0.8167718984815137,0.35_random0,0
72,small,0.35,0.8730536131204868,0.35_random1,1
73,large,0.35,0.816927027123594,0.35_random1,1
74,small,0.35,0.8731706618877226,0.35_random2,2
75,large,0.35,0.816693287016488,0.35_random2,2
76,small,0.35,0.868093983646189,0.35_random3,3
77,large,0.35,0.8176919761735709,0.35_random3,3
78,small,0.35,0.87063103095264,0.35_random4,4
79,large,0.35,0.818626759057825,0.35_random4,4
