,frac,scenario,company,valid_rmse,hidden_rmse,seed,# hidden,# valid
0,0.01,0.01_random0,small,0.9195334779176452,0.9913728094842993,0,1000005,8754
1,0.01,0.01_random0,large,0.7760673610004489,0.7784324026346695,0,1000005,891251
2,0.01,0.01_random1,small,0.9162319414539424,0.9880942134259907,1,1000005,8816
3,0.01,0.01_random1,large,0.7749977278735831,0.7783837663432296,1,1000005,891189
4,0.01,0.01_random2,small,0.9120567297679996,0.9887498707374384,2,1000005,9147
5,0.01,0.01_random2,large,0.775043107447513,0.7781587036997749,2,1000005,890859
6,0.01,0.01_random3,small,0.9023741863277971,0.9925526766761769,3,1000005,9284
7,0.01,0.01_random3,large,0.7743787928473752,0.7787638023980396,3,1000005,890722
8,0.01,0.01_random4,small,0.9472435729977685,0.9845810411513513,4,1000005,9285
9,0.01,0.01_random4,large,0.7743715767123698,0.778608858038679,4,1000005,890721
10,0.05,0.05_random0,small,0.8802175821917256,0.9522497482815322,0,1000005,45840
11,0.05,0.05_random0,large,0.7752741736736014,0.7870972126200961,0,1000005,854166
12,0.05,0.05_random1,small,0.8557678160679412,0.9543646800648,1,1000005,44252
13,0.05,0.05_random1,large,0.776657126619665,0.786616479438827,1,1000005,855753
14,0.05,0.05_random2,small,0.890687609389971,0.9531478184813222,2,1000005,43891
15,0.05,0.05_random2,large,0.7764346218237158,0.7865842182414637,2,1000005,856114
16,0.05,0.05_random3,small,0.8711839060215312,0.9535528749385003,3,1000005,45562
17,0.05,0.05_random3,large,0.776619182702781,0.7873230986552808,3,1000005,854444
18,0.05,0.05_random4,small,0.8700978310169695,0.9519732167357452,4,1000005,45167
19,0.05,0.05_random4,large,0.7753768145517609,0.7868087318769587,4,1000005,854839
20,0.1,0.1_random0,small,0.8518800918053364,0.9426055443207346,0,1000005,91758
21,0.1,0.1_random0,large,0.7743786990820416,0.7975647352960267,0,1000005,808248
22,0.1,0.1_random1,small,0.8448987852520481,0.9440596506320206,1,1000005,89213
23,0.1,0.1_random1,large,0.7766390279399755,0.796596001734512,1,1000005,810793
24,0.1,0.1_random2,small,0.8551606619658182,0.9423030616162649,2,1000005,89960
25,0.1,0.1_random2,large,0.7758624448603186,0.7981297804363131,2,1000005,810046
26,0.1,0.1_random3,small,0.8446432882199325,0.9433631241053709,3,1000005,90749
27,0.1,0.1_random3,large,0.777740229288267,0.7977413945506395,3,1000005,809257
28,0.1,0.1_random4,small,0.8535863037082128,0.9433364862659978,4,1000005,88934
29,0.1,0.1_random4,large,0.7761436381061211,0.7968404031257142,4,1000005,811071
30,0.2,0.2_random0,small,0.8173752589656106,0.9265615003787578,0,1000005,180826
31,0.2,0.2_random0,large,0.7767599109611277,0.8172175454101824,0,1000005,719180
32,0.2,0.2_random1,small,0.8136984510213671,0.9273101405646602,1,1000005,179524
33,0.2,0.2_random1,large,0.7786800878600357,0.8167463981867604,1,1000005,720482
34,0.2,0.2_random2,small,0.8165301551954549,0.9272595059298354,2,1000005,178358
35,0.2,0.2_random2,large,0.7789937713819058,0.817465620476958,2,1000005,721648
36,0.2,0.2_random3,small,0.8128946199004373,0.9263325801704555,3,1000005,179604
37,0.2,0.2_random3,large,0.7791234865644434,0.8176350260463133,3,1000005,720402
38,0.2,0.2_random4,small,0.8171338302693819,0.9275101249534868,4,1000005,179223
39,0.2,0.2_random4,large,0.7769756068847629,0.8168505772726203,4,1000005,720783
40,0.3,0.3_random0,small,0.80249104286335,0.9110079283298912,0,1000005,270169
41,0.3,0.3_random0,large,0.7791252730359297,0.8369507079696136,0,1000005,629837
42,0.3,0.3_random1,small,0.7991943968005957,0.9101308909212397,1,1000005,270477
43,0.3,0.3_random1,large,0.7804386069357566,0.8369952394687834,1,1000005,629528
44,0.3,0.3_random2,small,0.7994355566539979,0.9098185908667925,2,1000005,271779
45,0.3,0.3_random2,large,0.7826342457259212,0.838106607362247,2,1000005,628227
46,0.3,0.3_random3,small,0.8001894909017024,0.9096615402322009,3,1000005,270572
47,0.3,0.3_random3,large,0.78123872536228,0.8378932328958805,3,1000005,629434
48,0.3,0.3_random4,small,0.801802571994093,0.9107994698783128,4,1000005,269731
