,company,frac,rmse,scenario,seed
0,small,0.01,0.9533588730725473,0.01_random0,0
1,large,0.01,0.7787657709151851,0.01_random0,0
2,small,0.01,0.9435254510210304,0.01_random1,1
3,large,0.01,0.7791532075211918,0.01_random1,1
4,small,0.01,0.9477404861961228,0.01_random2,2
5,large,0.01,0.7786991447390434,0.01_random2,2
6,small,0.01,0.9490999256234385,0.01_random3,3
7,large,0.01,0.7777706895650686,0.01_random3,3
8,small,0.01,0.9511302015520823,0.01_random4,4
9,large,0.01,0.7790621579617509,0.01_random4,4
10,small,0.05,0.9061223844726373,0.05_random0,0
11,large,0.05,0.7805158465136603,0.05_random0,0
12,small,0.05,0.9080165468305568,0.05_random1,1
13,large,0.05,0.7801088266095677,0.05_random1,1
14,small,0.05,0.899958031448143,0.05_random2,2
15,large,0.05,0.780952917184167,0.05_random2,2
16,small,0.05,0.9008423829142833,0.05_random3,3
17,large,0.05,0.7807094598857007,0.05_random3,3
18,small,0.05,0.900384128311805,0.05_random4,4
19,large,0.05,0.7801556589243124,0.05_random4,4
20,small,0.1,0.8902474374639464,0.1_random0,0
21,large,0.1,0.7823233718398673,0.1_random0,0
22,small,0.1,0.8907109970114508,0.1_random1,1
23,large,0.1,0.7822817164506812,0.1_random1,1
24,small,0.1,0.887856777241917,0.1_random2,2
25,large,0.1,0.7827679299000426,0.1_random2,2
26,small,0.1,0.8880648856605194,0.1_random3,3
27,large,0.1,0.7832427112203285,0.1_random3,3
28,small,0.1,0.8897385651693803,0.1_random4,4
29,large,0.1,0.7830371560571218,0.1_random4,4
30,small,0.2,0.8773353899317315,0.2_random0,0
31,large,0.2,0.7890286478693219,0.2_random0,0
32,small,0.2,0.8811187869902095,0.2_random1,1
33,large,0.2,0.7890610809096431,0.2_random1,1
34,small,0.2,0.878172491632223,0.2_random2,2
35,large,0.2,0.7887243884538968,0.2_random2,2
36,small,0.2,0.8790555019759478,0.2_random3,3
37,large,0.2,0.7877361830818476,0.2_random3,3
38,small,0.2,0.8787833866794288,0.2_random4,4
39,large,0.2,0.7902987153276612,0.2_random4,4
40,small,0.3,0.862279037611281,0.3_random0,0
41,large,0.3,0.7944857077157872,0.3_random0,0
42,small,0.3,0.8639973523061845,0.3_random1,1
43,large,0.3,0.7956951698856952,0.3_random1,1
44,small,0.3,0.8582162294412436,0.3_random2,2
45,large,0.3,0.7970737146891222,0.3_random2,2
46,small,0.3,0.8621284102836242,0.3_random3,3
47,large,0.3,0.7947390584597452,0.3_random3,3
48,small,0.3,0.8619256930507764,0.3_random4,4
49,large,0.3,0.7959420034888285,0.3_random4,4
50,small,0.4,0.829010407289465,0.4_random0,0
51,large,0.4,0.8035309733010605,0.4_random0,0
52,small,0.4,0.8327990037743263,0.4_random1,1
53,large,0.4,0.8037315387991197,0.4_random1,1
54,small,0.4,0.8338578126126316,0.4_random2,2
55,large,0.4,0.8021146926149266,0.4_random2,2
56,small,0.4,0.8290797852332678,0.4_random3,3
57,large,0.4,0.8050667424322461,0.4_random3,3
58,small,0.4,0.8300302158929763,0.4_random4,4
59,large,0.4,0.8024740223886899,0.4_random4,4
60,small,0.5,0.8172378734422957,0.5_random0,0
61,large,0.5,0.8154851340261744,0.5_random0,0
62,small,0.5,0.8188697201089801,0.5_random1,1
63,large,0.5,0.8148994417650551,0.5_random1,1
64,small,0.5,0.8172181651206374,0.5_random2,2
65,large,0.5,0.8153696422481741,0.5_random2,2
66,small,0.5,0.8119207264071849,0.5_random3,3
67,large,0.5,0.817159667996669,0.5_random3,3
68,small,0.5,0.8171099485090761,0.5_random4,4
69,large,0.5,0.8172333065751904,0.5_random4,4
