,frac,company,valid_aur,hidden_aur,len(train_y),seed
0,0.01,small,0.9306615776081424,0.9176623248327983,1280,0
1,0.01,large,0.9745094019688552,0.9720217014497914,127971,0
2,0.01,small,0.9225274725274725,0.9014454159588396,1289,1
3,0.01,large,0.9709778838888302,0.9722450414210831,127962,1
4,0.01,small,0.8705692803437165,0.923730019361828,1321,2
5,0.01,large,0.9721361897887434,0.9721672762120241,127931,2
6,0.01,small,0.9194285714285714,0.912238714238579,1248,3
7,0.01,large,0.9707821617715569,0.9722820867157284,128004,3
8,0.01,small,0.9293333333333333,0.9111781164257983,1280,4
9,0.01,large,0.9743278057027634,0.9718898851476228,127971,4
10,0.05,small,0.9231356211846231,0.9289591314771262,6421,0
11,0.05,large,0.9673851120857769,0.9719345360506262,122831,0
12,0.05,small,0.9169615214506855,0.9366602799496252,6594,1
13,0.05,large,0.972572287233603,0.9717940032085413,122658,1
14,0.05,small,0.9583123213985544,0.941208861029384,6515,2
15,0.05,large,0.9703193137561263,0.9715148175623922,122737,2
16,0.05,small,0.9640867938323906,0.928966694357348,6388,3
17,0.05,large,0.9724749780729972,0.9720229405657599,122864,3
18,0.05,small,0.9530867272802757,0.9383250108892657,6521,4
19,0.05,large,0.97075892327673,0.9717925504518885,122731,4
20,0.1,small,0.9626611222404339,0.943201786788135,12997,0
21,0.1,large,0.9721857525235862,0.9717799029233822,116254,0
22,0.1,small,0.9371021135727019,0.9463552087436125,13097,1
23,0.1,large,0.967163921703889,0.9708406530192429,116154,1
24,0.1,small,0.9336492384620727,0.9471191023741378,13061,2
25,0.1,large,0.9691529694536883,0.9713266428477243,116190,2
26,0.1,small,0.9532252153197728,0.9434522591263241,12927,3
27,0.1,large,0.9712201532029104,0.9713735156138439,116325,3
28,0.1,small,0.9469903663944917,0.9483022444833917,13163,4
29,0.1,large,0.9701955054350159,0.9709585399487997,116089,4
30,0.2,small,0.9614096280020283,0.9535603690036081,25992,0
31,0.2,large,0.9726147640644099,0.9705380950822392,103260,0
32,0.2,small,0.9554576546878326,0.9562665555507225,26020,1
33,0.2,large,0.9687611797186264,0.9700966707004877,103231,1
34,0.2,small,0.9615669652377906,0.9560080930509436,26030,2
35,0.2,large,0.9678823217920137,0.9697878744555045,103221,2
36,0.2,small,0.9549841023441383,0.952706746285707,25902,3
37,0.2,large,0.970888669184808,0.9708999596731843,103350,3
38,0.2,small,0.9582511104472504,0.9563136419575262,26111,4
39,0.2,large,0.9663942916030736,0.9697879599117784,103140,4
40,0.3,small,0.9541927690050911,0.9581089928115035,38812,0
41,0.3,large,0.9717896980244264,0.9695952987427415,90440,0
42,0.3,small,0.960809583585166,0.9615524106317518,39022,1
43,0.3,large,0.9702159525168375,0.9686861294469417,90230,1
44,0.3,small,0.9627281185560245,0.9599745459943183,39094,2
45,0.3,large,0.9645256578210317,0.968823799503858,90158,2
46,0.3,small,0.9564777260342279,0.9590371334000632,38897,3
47,0.3,large,0.9696922641387796,0.9695987169936895,90355,3
48,0.3,small,0.9603098099132811,0.9609169150524474,38889,4
49,0.3,large,0.9661573506165528,0.9683088399985952,90363,4
50,0.4,small,0.9704974585590668,0.961949141382363,51579,0
51,0.4,large,0.9679071558372819,0.9683877161392119,77673,0
52,0.4,small,0.9666911466924629,0.9640717043083035,51714,1
53,0.4,large,0.9670770004335679,0.9673610871952235,77538,1
54,0.4,small,0.9644098348835533,0.9626503101079988,51993,2
55,0.4,large,0.9656271341115633,0.968072596129976,77258,2
56,0.4,small,0.9625460475451054,0.9621268477035038,51843,3
57,0.4,large,0.9660125336193067,0.9684021155213289,77409,3
58,0.4,small,0.9579042648234354,0.9637651726545736,51820,4
59,0.4,large,0.9639896630800474,0.9671250142391516,77432,4
60,0.5,small,0.9605207141471117,0.9643556327776425,64541,0
61,0.5,large,0.973881498304024,0.9672989177561131,64710,0
62,0.5,small,0.9599963078061933,0.9658488957041218,64561,1
63,0.5,large,0.972140943062996,0.9656785386225185,64691,1
64,0.5,small,0.9602402197663962,0.9655592416644455,64782,2
65,0.5,large,0.9644021828462475,0.9656041062081334,64470,2
66,0.5,small,0.965459129153829,0.965807833964613,64662,3
67,0.5,large,0.9647173143927802,0.9660249356279255,64590,3
68,0.5,small,0.9671820051755026,0.9663040358178007,64744,4
69,0.5,large,0.9640036485372052,0.9654790409515865,64508,4
